Comment,Designator,Footprint,LCSC
3.9nH,L1,L_0402_1005Metric,C14033
nRF52810-QFxx,U3,QFN-48-1EP_6x6mm_P0.4mm_EP4.6x4.6mm,C141828
100n,"C1,C10,C13,C4,C9",C_0402_1005Metric,C1525
100p,C11,C_0402_1005Metric,C1546
12p,"C12,C15,C16,C7",C_0402_1005Metric,C1547
LIS2DE12,U2,LGA-12_2x2mm_P0.5mm,C155639
1u,C6,C_0603_1608Metric,C15849
4.7u,"C5,C8",C_0603_1608Metric,C19666
1k,"RN1,RN2,RN3,RN4",R_Array_Concave_4x0402,C25726
4.7k,"R1,R2,R3",R_0402_1005Metric,C25900
RESET,SW1,SW_Push_SPST_NO_Alps_SKRK,C262416
X0511WVS-24AS-LPV01,"J1,J2",X0511WVS-24AS-LPV01,C2925345
32MHz,Y2,Oscillator_SMD_Abracon_ASCO-4Pin_1.6x1.2mm,C2965582
32.768kHz,Y1,Crystal_SMD_3215-2Pin_3.2x1.5mm,C32346
0.8p,C14,C_0402_1005Metric,C327032
KH3216-A55,AE1,R_1206_3216Metric,C484541
