Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
AE1,KH3216-A55,R_1206_3216Metric,29.75,-1.25,0.0,top
C1,100n,C_0402_1005Metric,9.25,-3.75,-90.0,top
C4,100n,C_0402_1005Metric,9.25,-1.75,90.0,top
C5,4.7u,C_0603_1608Metric,8.0,-2.0,90.0,top
C6,1u,C_0603_1608Metric,15.0,-7.25,180.0,top
C7,12p,C_0402_1005Metric,14.0,-12.5,180.0,top
C8,4.7u,C_0603_1608Metric,15.0,-8.75,180.0,top
C9,100n,C_0402_1005Metric,16.0,-3.0,90.0,top
C10,100n,C_0402_1005Metric,24.5,-9.25,-90.0,top
C11,100p,C_0402_1005Metric,19.25,-3.5,270.0,bottom
C12,12p,C_0402_1005Metric,20.0,-12.5,0.0,top
C13,100n,C_0402_1005Metric,15.5,-10.0,180.0,top
C14,0.8p,C_0402_1005Metric,21.0,-0.75,180.0,top
C15,12p,C_0402_1005Metric,19.5,-1.0,90.0,top
C16,12p,C_0402_1005Metric,16.25,-1.0,-90.0,top
J1,X0511WVS-24AS-LPV01,X0511WVS-24AS-LPV01,30.0,-6.0,0.0,bottom
J2,X0511WVS-24AS-LPV01,X0511WVS-24AS-LPV01,4.0,-6.0,0.0,bottom
L1,3.9nH,L_0402_1005Metric,23.0,-0.75,180.0,top
R1,4.7k,R_0402_1005Metric,13.25,-1.5,180.0,bottom
R2,4.7k,R_0402_1005Metric,13.25,-3.0,0.0,bottom
R3,4.7k,R_0402_1005Metric,2.75,-4.75,90.0,top
RN1,1k,R_Array_Concave_4x0402,28.5,-10.5,0.0,top
RN2,1k,R_Array_Concave_4x0402,28.5,-8.0,0.0,top
RN3,1k,R_Array_Concave_4x0402,28.5,-5.5,0.0,top
RN4,1k,R_Array_Concave_4x0402,8.75,-8.0,0.0,top
SW1,RESET,SW_Push_SPST_NO_Alps_SKRK,5.25,-3.25,-90.0,top
U2,LIS2DE12,LGA-12_2x2mm_P0.5mm,11.0,-2.25,180.0,top
U3,nRF52810-QFxx,QFN-48-1EP_6x6mm_P0.4mm_EP4.6x4.6mm,20.25,-6.25,90.0,top
Y1,32.768kHz,Crystal_SMD_3215-2Pin_3.2x1.5mm,17.0,-11.75,0.0,top
Y2,32MHz,Oscillator_SMD_Abracon_ASCO-4Pin_1.6x1.2mm,17.875,-1.0,-90.0,top
