Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
BT1,CR2032,BatteryHolder_Keystone_1060_1x2032,17.5,-24.5,180.0,bottom
C1,100uF,C_1206_3216Metric,1.75,-19.75,90.0,bottom
C2,1uF,C_0402_1005Metric,3.5,-19.75,90.0,bottom
C3,10uF,C_0603_1608Metric,4.5,-33.5,180.0,bottom
D1,LED_Small,LED_0402_1005Metric,2.5,-3.75,45.0,top
D2,LED_Small,LED_0402_1005Metric,32.5,-3.75,135.0,top
D3,LED_Small,LED_0402_1005Metric,2.5,-31.25,-45.0,top
D4,LED_Small,LED_0402_1005Metric,32.5,-31.25,-135.0,top
D5,LED_Small,LED_0402_1005Metric,5.0,-6.25,45.0,top
D6,LED_Small,LED_0402_1005Metric,7.5,-6.25,45.0,top
D7,LED_Small,LED_0402_1005Metric,10.0,-6.25,45.0,top
D8,LED_Small,LED_0402_1005Metric,12.5,-6.25,45.0,top
D9,LED_Small,LED_0402_1005Metric,15.0,-6.25,45.0,top
D10,LED_Small,LED_0402_1005Metric,17.5,-6.25,45.0,top
D11,LED_Small,LED_0402_1005Metric,20.0,-6.25,45.0,top
D12,LED_Small,LED_0402_1005Metric,22.5,-6.25,45.0,top
D13,LED_Small,LED_0402_1005Metric,25.0,-6.25,45.0,top
D14,LED_Small,LED_0402_1005Metric,27.5,-6.25,45.0,top
D15,LED_Small,LED_0402_1005Metric,30.0,-6.25,45.0,top
D16,LED_Small,LED_0402_1005Metric,5.0,-8.75,45.0,top
D17,LED_Small,LED_0402_1005Metric,7.5,-8.75,45.0,top
D18,LED_Small,LED_0402_1005Metric,10.0,-8.75,45.0,top
D19,LED_Small,LED_0402_1005Metric,12.5,-8.75,45.0,top
D20,LED_Small,LED_0402_1005Metric,15.0,-8.75,45.0,top
D21,LED_Small,LED_0402_1005Metric,17.5,-8.75,45.0,top
D22,LED_Small,LED_0402_1005Metric,20.0,-8.75,45.0,top
D23,LED_Small,LED_0402_1005Metric,22.5,-8.75,45.0,top
D24,LED_Small,LED_0402_1005Metric,25.0,-8.75,45.0,top
D25,LED_Small,LED_0402_1005Metric,27.5,-8.75,45.0,top
D26,LED_Small,LED_0402_1005Metric,30.0,-8.75,45.0,top
D27,LED_Small,LED_0402_1005Metric,5.0,-11.25,45.0,top
D28,LED_Small,LED_0402_1005Metric,7.5,-11.25,45.0,top
D29,LED_Small,LED_0402_1005Metric,10.0,-11.25,45.0,top
D30,LED_Small,LED_0402_1005Metric,12.5,-11.25,45.0,top
D31,LED_Small,LED_0402_1005Metric,15.0,-11.25,45.0,top
D32,LED_Small,LED_0402_1005Metric,17.5,-11.25,45.0,top
D33,LED_Small,LED_0402_1005Metric,20.0,-11.25,45.0,top
D34,LED_Small,LED_0402_1005Metric,22.5,-11.25,45.0,top
D35,LED_Small,LED_0402_1005Metric,25.0,-11.25,45.0,top
D36,LED_Small,LED_0402_1005Metric,27.5,-11.25,45.0,top
D37,LED_Small,LED_0402_1005Metric,30.0,-11.25,45.0,top
D38,LED_Small,LED_0402_1005Metric,5.0,-13.75,45.0,top
D39,LED_Small,LED_0402_1005Metric,7.5,-13.75,45.0,top
D40,LED_Small,LED_0402_1005Metric,10.0,-13.75,45.0,top
D41,LED_Small,LED_0402_1005Metric,12.5,-13.75,45.0,top
D42,LED_Small,LED_0402_1005Metric,15.0,-13.75,45.0,top
D43,LED_Small,LED_0402_1005Metric,17.5,-13.75,45.0,top
D44,LED_Small,LED_0402_1005Metric,20.0,-13.75,45.0,top
D45,LED_Small,LED_0402_1005Metric,22.5,-13.75,45.0,top
D46,LED_Small,LED_0402_1005Metric,25.0,-13.75,45.0,top
D47,LED_Small,LED_0402_1005Metric,27.5,-13.75,45.0,top
D48,LED_Small,LED_0402_1005Metric,30.0,-13.75,45.0,top
D49,LED_Small,LED_0402_1005Metric,5.0,-16.25,45.0,top
D50,LED_Small,LED_0402_1005Metric,7.5,-16.25,45.0,top
D51,LED_Small,LED_0402_1005Metric,10.0,-16.25,45.0,top
D52,LED_Small,LED_0402_1005Metric,12.5,-16.25,45.0,top
D53,LED_Small,LED_0402_1005Metric,15.0,-16.25,45.0,top
D54,LED_Small,LED_0402_1005Metric,17.5,-16.25,45.0,top
D55,LED_Small,LED_0402_1005Metric,20.0,-16.25,45.0,top
D56,LED_Small,LED_0402_1005Metric,22.5,-16.25,45.0,top
D57,LED_Small,LED_0402_1005Metric,25.0,-16.25,45.0,top
D58,LED_Small,LED_0402_1005Metric,27.5,-16.25,45.0,top
